Country,Year,Complaints,Losses
PR,2019,655,5929974
PS,2019,1784,22483591
PT,2019,1119,13870074
PY,2019,1913,10967865
AE,2019,5503,48101706
AF,2019,612,9218912
AL,2019,1261,15433066
AM,2019,2402,25413556
AO,2019,730,4218960
AR,2019,4555,106144702
AT,2019,6942,47306368
AU,2019,32061,286422142
AZ,2019,1991,26944580
RO,2019,17366,121565659
BA,2019,7100,48232941
RS,2019,9268,70529910
BD,2019,11970,202462502
RU,2019,159459,2404940557
BE,2019,6275,61314011
BG,2019,14189,118129647
BH,2019,4666,64103022
SA,2019,543,11786077
BR,2019,113294,571530336
SC,2019,27698,326719153
SE,2019,43233,288695571
SG,2019,61470,1051420849
SI,2019,358,7257183
BY,2019,5622,40335091
SK,2019,1962,18206898
BZ,2019,323,2498015
CA,2019,36655,673206760
SV,2019,429,7625619
CH,2019,13044,102495918
SZ,2019,6293,36939924
CL,2019,1409,49590061
CN,2019,449305,2532007781
CO,2019,6865,69494853
CR,2019,414,4698147
TH,2019,13088,122082224
CY,2019,999,5686522
CZ,2019,30211,172991200
TR,2019,16525,208240641
DE,2019,95136,1559415577
TW,2019,16960,205458284
TZ,2019,3052,14935783
DK,2019,5670,38097127
DO,2019,7728,39752918
UA,2019,65629,1290652585
UG,2019,482,3896487
US,2019,428355,3302744547
EC,2019,6226,38064072
EE,2019,9712,63377416
EG,2019,1426,21281601
UZ,2019,731,10115233
ES,2019,31731,334885510
VE,2019,7541,79397063
VG,2019,813,14172668
VN,2019,21505,381138510
FI,2019,14427,179710211
FR,2019,160810,967758695
GB,2019,182883,1342411802
GE,2019,2158,11248342
GH,2019,463,6103570
GN,2019,316,2942671
GR,2019,5785,41506851
GT,2019,3799,23310755
HK,2019,113923,746613837
HN,2019,7668,77996271
HR,2019,1468,8092129
YE,2019,216,2714177
HU,2019,3707,75257661
ID,2019,32221,437808210
IE,2019,16178,316218523
IL,2019,7870,72760275
IN,2019,50473,989343380
ZA,2019,43982,622385234
IQ,2019,32400,191135345
IR,2019,46337,442237902
IS,2019,392,3053735
IT,2019,42362,291496322
ZW,2019,499,2509401
JO,2019,431,3218885
JP,2019,86934,799709881
KE,2019,2410,19120184
KG,2019,5029,90758012
KH,2019,8019,75168331
KN,2019,261,3016590
KR,2019,15419,297651983
KZ,2019,9655,215224978
LB,2019,4337,39296596
LK,2019,331,5241631
LT,2019,5463,58251632
LU,2019,612,11718536
LV,2019,4183,27217794
LY,2019,1154,7827594
MD,2019,5156,29234480
MM,2019,2100,12568012
MN,2019,1064,26326159
MT,2019,642,15863991
MV,2019,337,2832717
MX,2019,6770,118445689
MY,2019,3163,53285151
MZ,2019,1773,14590391
,2019,239,2779417
NG,2019,1781,34340619
NI,2019,859,5969337
NL,2019,49692,572304502
NO,2019,4031,45713939
NP,2019,1046,9903690
NZ,2019,1662,13317391
OM,2019,2814,14755487
PA,2019,963,6611775
PE,2019,4435,27363061
PG,2019,651,6153461
PH,2019,5688,179433874
PK,2019,28492,181705646
PL,2019,21903,390365695
PR,2020,1338,7209755
PS,2020,2890,25423219
PT,2020,2020,12391290
PY,2020,2992,13815152
AE,2020,7390,81178182
AF,2020,1095,8257595
AL,2020,2450,15481216
AM,2020,3290,38075278
AO,2020,1471,4388316
AR,2020,6055,96414427
AT,2020,10963,41464758
AU,2020,55024,399593060
AZ,2020,4183,39283188
RO,2020,25108,152115092
BA,2020,11871,35153818
RS,2020,17344,81490357
BD,2020,16637,257563277
RU,2020,293917,2402832265
BE,2020,10620,81868291
BG,2020,26712,111207806
BH,2020,10094,93786879
SA,2020,776,14140050
BR,2020,163299,749658021
SC,2020,47919,410036875
SE,2020,61690,330876641
SG,2020,127548,1102776096
SI,2020,472,9239424
BY,2020,8033,45133084
SK,2020,3761,22972759
BZ,2020,548,4146715
CA,2020,72594,793553716
SV,2020,711,6605847
CH,2020,18748,125191128
SZ,2020,9344,55886392
CL,2020,2772,40920566
CN,2020,705690,3061083799
CO,2020,13886,64216061
CR,2020,659,7090087
TH,2020,24580,147126154
CY,2020,1706,6853488
CZ,2020,47442,212529097
TR,2020,28232,259185589
DE,2020,148495,2432407746
TW,2020,30125,181937259
TZ,2020,4171,21277746
DK,2020,9143,37191643
DO,2020,14328,43312940
UA,2020,102244,1449674414
UG,2020,1164,4550806
US,2020,796395,3906715208
EC,2020,8187,47318231
EE,2020,16004,81946736
EG,2020,1971,29498445
UZ,2020,1305,11920427
ES,2020,61452,479903741
VE,2020,11980,113825151
VG,2020,1840,10930431
VN,2020,53039,388987922
FI,2020,23146,209024271
FR,2020,211096,1099523432
GB,2020,427367,1590816673
GE,2020,2749,13581482
GH,2020,842,6502100
GN,2020,546,4484265
GR,2020,10490,45286391
GT,2020,6358,26291913
HK,2020,237997,823420937
HN,2020,12844,89984923
